page,carrier,product_grouping,product_name,states,pay_years,adv_mo,senior_1,associate_1,senior_2,associate_2,senior_3,associate_3,highlighted
2,Assurity,Accident,Accident Insurance,USA,"Yr1, 2-10",9,47%,45%,,,,,yes
2,Assurity,Accident,Accident Insurance COMNSDWA,"CO MN SD W…",Yr 1-5,9,2.5%,2.0%,,,,,yes
2,Assurity,Critical Illness,Simplified Critical Illness,USA,"Yr1, 2-10",9,47%,45%,4.5%,4.0%,,,
2,Assurity,Critical Illness,Critical Illness,USA,"Yr1, 2-10",9,53.5%,52%,2.5%,2.0%,,,
2,Assurity,Accidental Death,"5, 7, or 10 Year",USA,Y1-5,9,6%,5.5%,,,,,
2,Assurity,Accidental Death,"5, 7, or 10 Year",CO,Y1-5,9,3.5%,3.5%,,,,,
2,Assurity,Accidental Death,15 Year,USA,Yr 1,9,38%,36%,,,,,
2,Assurity,Accidental Death,15 Year,"CO, SD, WA",Yr 1,9,33%,32%,,,,,
2,Assurity,Accidental Death,20 or 30 Year,USA,Yr 1,9,53.5%,52%,,,,,
2,Assurity,Accidental Death,20 or 30 Year,"CO, SD, WA",Yr 1,9,47%,45%,,,,,
2,Assurity,Accidental Death,To Age 80,USA,"Yrs 1, 2-5",9,57%,55%,2.0%,1.5%,,,
2,Assurity,Accidental Death,To Age 80,"CO, SD, WA",Yr 1,9,51%,49%,,,,,
2,Assurity,Accidental Death,AcciFlex,USA,Yr 1,9,73%,70%,,,,,
2,Assurity,Whole Life,WL Pay for Life,USA,"Yrs 1, 2-5, 6-10",9,64%,62%,2.0%,1.5%,,,
2,Assurity,Whole Life,WL Pay to 65 (Under 45),USA,"Yrs 1, 2-5",9,47%,45%,,,,,
2,Assurity,Whole Life,WL Pay to 65 (Over 45),USA,Yr 1,9,28%,26%,,,,,
2,Assurity,Whole Life,WL 20 Pay,USA,Yr 1,9,47%,45%,,,,,
2,Assurity,Whole Life,WL 10 Pay,USA,Yr 1,9,28%,26%,,,,,
2,Assurity,Term Life,10 Year Term,USA,Yr 1,9,58%,56%,,,,,
2,Assurity,Term Life,15 Year Term,USA,Yr 1,9,65%,62.0%,,,,,
2,Assurity,Term Life,20-30 Year Term,USA,Yr 1,9,73%,70%,,,,,
2,Assurity,Universal Life,Assurity Universal Life,USA,Yr 1,9,64%,62%,,,,,
2,AIG,GI Whole Life,GIWL,USA,Yr 1,9,57%,55%,,,,,
2,AIG,Graded Whole Life,SimpliNow Legacy,USA,Yr 1,9,68%,65%,,,,,
2,AIG,Whole Life,SimpliNow Legacy Max,USA,Yr 1,9,102%,100%,,,,,
2,Allstate,Fixed Indemnity,Access Plan,USA,Yr 1/2+,6,18%,17.5%,3.0%,3.0%,,,
2,Allstate,Accident,ACCIMED,USA,Yr 1/2+,6,34%,33%,2.5%,2.5%,,,
2,Allstate,Ancillary,Allstate Recuro RX Discount Card,USA,Yr 1/2+,6,18%,17.5%,3.0%,3.0%,,,
2,Allstate,Association,Association bundle & standalone GI,USA,Yr 1,6,5.5%,5%,,,,,
2,Allstate,Association,Association Package BUNDLE,USA,Yr 1/2+,6,34%,33%,2.5%,2.5%,,,
2,Allstate,Association,Association Package Stand Alone,USA,Yr 1,6,16.5%,16%,,,,,
2,Allstate,Critical Illness,Cancer/Heart/Stroke,USA,Yrs 1/2+,6,40%,38%,4.0%,3.75%,,,
2,Allstate,Critical Illness,Cancer/Heart/Stroke,"CO, FL, MI, MN…",Yrs 1/2+,6,32%,31%,3.0%,3.0%,,,
2,Allstate,Critical Illness,Critical Illness with Term Life 21677,USA,Yrs 1/2+,6,47%,46%,3.0%,3.0%,,,
2,Allstate,Term Life,TermLife Stand Alone,USA,Yrs 1/2+,6,47%,46%,3.0%,3.0%,,,
2,Allstate,Critical Illness,NatGen CI,USA,Yr 1/2+,6,32%,31%,3.0%,3.0%,,,
2,Allstate,Dental,NHIC Dental DVH 65+,"AL, AZ, FL, GA",Yr 1/2+,6,25%,24%,2.0%,2.0%,,,
2,Allstate,Dental,NHIC Dental PPO Prior Compensation,USA,Flat,6,5.5%,5%,5.5%,5%,,,
2,Allstate,Dental,NHIC Dental/Vision PPO,"AL, AZ, FL, GA",Yr 1/2+,6,18.5%,18%,2.0%,2.0%,,,
2,Allstate,Dental,Dental Indemnity,USA,Yr 1/2+,6,19.0%,18%,2.0%,2.0%,,,
2,Allstate,Dental,Dental PPO,USA,Yr 1/2+,6,18%,17.5%,2.0%,2.0%,,,
2,Allstate,Fixed Indemnity,Allstate Health Access GI,USA,Yr 1/2+,6,9%,8.5%,1.00%,1.00%,,,
3,Allstate,Fixed Indemnity,Foundation + Life Association,USA,Yr 1/2+,6,18%,17.5%,3.0%,3.0%,,,
